id,ua_city,city,lat,lng,country,iso2,admin_name,capital,population,population_proper
a5b204a4-3df0-4b72-ad33-ee135fe6c8d0,Товсте,Tovste,48.8464,25.7253,Ukraine,UA,Ternopilska Oblast,,3156,3156
2e89f0ac-96bb-4ab5-8df1-62d364caa39f,П’ятопілля,Piatypillia,48.0119,38.0919,Ukraine,UA,Donetska Oblast,,3155,3155
1a893b78-8016-4412-9a04-f08938f60625,Гатне,Hatne,50.3583,30.3989,Ukraine,UA,Kyivska Oblast,,3077,3077
3f1ec35d-85c2-45ef-9f2c-ef31c84543c0,Булавинське,Bulavynske,48.255,38.3336,Ukraine,UA,Donetska Oblast,,3070,3070
7a549276-d9ad-48f2-ab0f-dff261ac2980,Дубове,Dubove,48.1261,39.6433,Ukraine,UA,Luhanska Oblast,,3018,3018
290a5f4b-eb11-409e-888a-0704d918c307,Кулиничі,Kulynychi,49.9819,36.3861,Ukraine,UA,Kharkivska Oblast,,2985,2985
0eb4ca1f-dffc-4533-84e1-24e41d379487,Садки,Sadky,49.009,33.4602,Ukraine,UA,Poltavska Oblast,,2939,2939
c18b6293-cdd7-40ae-ab63-283cb70126c8,Красноторка,Krasnotorka,48.6858,37.5267,Ukraine,UA,Donetska Oblast,,2915,2915
dfcfad13-ea92-4161-a345-0c0a350b753d,Первомайський,Pervomaiskyi,47.9736,38.7875,Ukraine,UA,Donetska Oblast,,2837,2837
ade40f36-57f3-4565-860b-56fe5eed5d0f,Бритівка,Brytivka,46.1722,30.2833,Ukraine,UA,Odeska Oblast,,2818,2818
3fedb624-4e0a-48a7-81e6-153350ae66e2,Ближнє,Blyzhnie,45.0569,35.3306,Ukraine,UA,"Krym, Avtonomna Respublika",,2779,2779
d60e82aa-aad7-4220-b1d7-67aae03f3ac7,Михайлівка,Mykhailivka,48.0683,39.2633,Ukraine,UA,Luhanska Oblast,,2765,2765
220465ef-a538-4cfd-b95f-878d056552c6,Ларине,Laryne,47.8828,37.9294,Ukraine,UA,Donetska Oblast,,2761,2761
dfe605f1-2c2b-4254-8713-1e372a18b9f0,Ведмеже,Vedmezhe,48.1242,39.5856,Ukraine,UA,Luhanska Oblast,,2727,2727
35d800c0-1d26-409b-9a9c-16aac1e97499,Володимир-Волинський,Volodymyr-Volynskyi,50.8525,24.3236,Ukraine,UA,Volynska Oblast,minor,,
